timestamp,open,high,low,close,volume
2023-01-02 00:00:00+00:00,100.5,101.63,98.63,100.03,245598
2023-01-03 00:00:00+00:00,100.43,101.8,99.79,100.55,239125
2023-01-04 00:00:00+00:00,101.92,103.42,100.96,101.22,127220
2023-01-05 00:00:00+00:00,102.35,102.93,101.25,101.9,189609
2023-01-06 00:00:00+00:00,103.39,104.12,101.06,102.3,115689
2023-01-09 00:00:00+00:00,103.17,103.54,101.72,102.73,200342
2023-01-10 00:00:00+00:00,102.31,104.2,101.14,103.26,248850
2023-01-11 00:00:00+00:00,103.67,105.2,102.44,103.71,107886
2023-01-12 00:00:00+00:00,103.44,105.26,102.97,104.15,198485
2023-01-13 00:00:00+00:00,104.15,105.44,102.75,104.46,241827
2023-01-16 00:00:00+00:00,105.8,106.51,104.12,104.89,227077
2023-01-17 00:00:00+00:00,105.64,107.03,104.22,105.25,158872
2023-01-18 00:00:00+00:00,105.08,106.35,104.88,105.5,115588
2023-01-19 00:00:00+00:00,105.18,106.16,103.69,105.79,238585
2023-01-20 00:00:00+00:00,105.98,106.65,105.39,105.96,238198
2023-01-23 00:00:00+00:00,105.22,106.24,104.94,105.95,186846
2023-01-24 00:00:00+00:00,105.6,106.47,104.81,106.01,246834
2023-01-25 00:00:00+00:00,106.07,106.3,105.52,105.89,100692
2023-01-26 00:00:00+00:00,106.57,107.36,105.48,105.88,192491
2023-01-27 00:00:00+00:00,106.11,107.13,104.72,105.74,105781
2023-01-30 00:00:00+00:00,104.18,106.2,103.47,105.55,240354
2023-01-31 00:00:00+00:00,105.46,106.21,103.88,105.28,202062
2023-02-01 00:00:00+00:00,105.18,106.63,104.52,105.14,237014
2023-02-02 00:00:00+00:00,105.1,106.27,103.7,104.85,184400
2023-02-03 00:00:00+00:00,105.48,106.38,103.71,104.51,112489
2023-02-06 00:00:00+00:00,102.92,104.73,101.86,104.16,103979
2023-02-07 00:00:00+00:00,103.53,105.25,102.55,103.88,150336
2023-02-08 00:00:00+00:00,103.94,104.44,102.77,103.58,211518
2023-02-09 00:00:00+00:00,102.34,103.91,100.91,103.29,122654
2023-02-10 00:00:00+00:00,103.89,105.28,102.36,103.01,227821
2023-02-13 00:00:00+00:00,103.12,104.01,102.47,102.9,135922
2023-02-14 00:00:00+00:00,103.09,104.25,101.5,102.58,174462
2023-02-15 00:00:00+00:00,101.94,103.25,100.64,102.28,130462
2023-02-16 00:00:00+00:00,102.47,103.52,101.73,101.99,169863
2023-02-17 00:00:00+00:00,102.5,103.09,101.08,101.86,167826
2023-02-20 00:00:00+00:00,101.96,102.48,100.46,101.82,100820
2023-02-21 00:00:00+00:00,101.86,102.48,100.55,101.72,185171
2023-02-22 00:00:00+00:00,101.76,102.17,100.11,101.6,217997
2023-02-23 00:00:00+00:00,101.02,102.87,100.13,101.54,240441
2023-02-24 00:00:00+00:00,101.57,102.23,100.51,101.66,149607
2023-02-27 00:00:00+00:00,101.76,102.78,101.16,101.85,232087
2023-02-28 00:00:00+00:00,102.3,103.53,100.64,102.07,231814
2023-03-01 00:00:00+00:00,102.84,104.06,101.57,102.24,248257
2023-03-02 00:00:00+00:00,101.91,103.32,100.75,102.55,155959
2023-03-03 00:00:00+00:00,102.82,103.72,102.1,102.9,227633
2023-03-06 00:00:00+00:00,104.19,105.69,102.37,103.3,184761
2023-03-07 00:00:00+00:00,103.37,104.89,102.23,103.82,108740
2023-03-08 00:00:00+00:00,103.82,105.57,102.95,104.31,140551
2023-03-09 00:00:00+00:00,105.0,106.38,103.5,104.88,200807
2023-03-10 00:00:00+00:00,105.94,107.16,104.69,105.43,124088
2023-03-13 00:00:00+00:00,106.03,106.48,104.99,106.03,165209
2023-03-14 00:00:00+00:00,107.47,108.4,106.03,106.67,216236
2023-03-15 00:00:00+00:00,107.66,107.99,106.42,107.15,122463
2023-03-16 00:00:00+00:00,108.24,109.28,106.96,107.73,174488
2023-03-17 00:00:00+00:00,108.63,110.08,107.94,108.3,132228
2023-03-20 00:00:00+00:00,110.25,111.12,108.53,108.85,180473
2023-03-21 00:00:00+00:00,109.3,110.19,108.23,109.42,136106
2023-03-22 00:00:00+00:00,108.93,110.38,107.88,110.13,244812
2023-03-23 00:00:00+00:00,111.57,113.02,109.55,110.61,111505
2023-03-24 00:00:00+00:00,110.95,111.55,110.72,111.22,244536
2023-03-27 00:00:00+00:00,111.62,111.87,110.93,111.56,218781
2023-03-28 00:00:00+00:00,112.76,113.28,111.52,111.97,228346
2023-03-29 00:00:00+00:00,111.43,112.67,110.22,112.39,227726
2023-03-30 00:00:00+00:00,112.05,113.59,110.73,112.8,128141
2023-03-31 00:00:00+00:00,112.2,114.03,111.68,113.16,239663
2023-04-03 00:00:00+00:00,113.01,114.09,111.94,113.48,189140
2023-04-04 00:00:00+00:00,113.91,114.18,113.28,113.65,244323
2023-04-05 00:00:00+00:00,114.06,114.4,113.19,113.74,231722
2023-04-06 00:00:00+00:00,114.07,114.77,113.52,113.9,186941
2023-04-07 00:00:00+00:00,113.07,114.19,112.5,113.92,156169
2023-04-10 00:00:00+00:00,112.39,114.88,111.31,113.78,117593
2023-04-11 00:00:00+00:00,113.63,114.1,112.21,113.6,115165
2023-04-12 00:00:00+00:00,113.11,113.98,112.64,113.39,158456
